clean_teks,sentiment
fitrahdharul agusprasodjo chynthiak jokowi msoekarnoputri puanmaharaniri aniesbaswedan ganjarpranowo prabowo mprgoid dprri dpdri kejaksaanri listyosigitp antikorupsi pksejahtera muhammadiyah nahdlatululama muipusat officialmkri mahkamahagung pdiperjuangan kpkri bpkri rakyat wajib tapera ikn mangkrak,positive
sri mulyani jabar rupiah triliun dana apbn kucur bantu masyarakat oleh rumah skema bantu milik rumah nama kenal bapertarum menkeu srimulyani apbn tapera skema bantu,positive
menteri uang srimulyani anggar dapat belanja negara apbn tanam program tabung rumah rakyat tapera,negative
gada tapera teman gw hutang gw gimana,positive
gara tapera negara nombokin ikn,negative
tempodotco revisi uu cipta kerja omnibuslaw legal ijazah gelar palsu uu rugi buruh uu tapera,negative
dnsvdtya sing kerjo mempeng potong tapera sing main judi bansos,negative
sosok yeka hendra fatika anggota ombudsman ri anak daftar serta tapera,negative
kangl tapera,negative
leonsdelite byulaaan potong tapera mencak kak,negative
arsipaja jilaat terooos bagi cuannya berfikir duit gampang beli rumah cash jg rumah suruh iur tapera kaliqn paksa hendak cmn cuan proyek uang kumpul dr iur taperamenjijikan,negative
celotehceloteh kompascom oo diedie orang taperaapa puas gaji tunjang terima,positive
arsipaja tapera tapera kontol korupsi besar nilep duit rakyat,negative
heraloebss tapera cair bossqueee,negative
daddyminussugar knp rakyat percya perintah program tapera selesai tamat,negative
buruh seru tolak bijak blunder jokowi tapera jokowi buruh,negative
dollar tapera calon kaesang judi online upacara ikn ukt mahal urus blokir ao jokowi,negative
dennysiregar anjiloknya rupiah iring banyak bijak ala pol pot rezim kmher merah terap cawecawe nepotisme tapera revolusi titik nol gaung rontok industrialisasi serap naker lokal,negative
alhamdulillah perintah perhati kpd kaum dhuafa korban judol usul terima bansos kaum masuk jg terima blt makan siang gratis tapera beasiswa lpdp dll lajang masuk program taaruf gratis oke gas gaaassss,positive
mdyasmara ngadi koplak tapera paksa lieur,negative
rasheedinn tapera,negative
putus dungu dapet hadiah benerbener dpt punishment tapera xixixixi,negative
arbintalk sehatsehat bang semangat nabung tapera,positive
bujuggggggg dewasa omel tbtb tarik kk bocil suruh nabung tapera,positive
alisyarief pp tapera,negative
kelas tengah bayar pajak iur bpjs nanti tapera gotong royong,negative
inventaris valiisaa maaf mas sok jamaah muhammadiyah apa muhammdiyah tarik dana dr bsi tindak nyata perintah tindak sperti muhammadiyah salam tapera mas omon omon,positive
masveel mesti jalanin tapera,negative
airantiereal kheyl andiachilles minggir emak gelut paksu biarin gosah pisah,negative
tapera singkat tabung rumah rakyat rencana dana bangun rumah wakil rakyat ikn kalang ditarikin ikn bangun pas rapih bangun gedung ikn rumah rakyat bangun gapapa milu,positive
goblok goblok maaf pesan,negative
poljokesid isu duet anies kaesang adlh skenario alih isu tapera ma ikn judi online dll,negative
cnbcindonesia eh bangsat duit rakyat duit jokowi enak bayar jokowi jokowi nadah duit rakyat noh tapera,negative
papaloren ikhlas program tapera,positive
seputartetangga gimana judi dilegalin duit didik sehat lumayan tuhdaripada tapera maksa,positive
unmagnetism wajar orang wni gaji potong tapera panjang sim bpjs anakcucunya kl cita presiden saing jan ethes dna menang pilih,positive
muhamma cosplaysuck neohistoriaid tapera skip banget,negative
percaya tapera nutup defisit apbn biaya makan siang gratis,positive
tapera,negative
mati kau ide anak tapera,negative
tapera,negative
utdfocusid bliblidotcom timessport gaji wajib potong tapera,negative
doktertifa tapera kalah pinjol,negative
arsipaja maksud orang duit habis kalah judi online korban rakyat peras embelembel tapera noh nama korban,negative
cwordgais ne potong tapera njir,negative
alisyarief potong tapera asa mah,positive
shiinaford abuwaras kerja usaha total tapera,negative
ubah sakit kepala gaji potong tapera,negative
cintada pegawai swasta dapet potong tapera,negative
tabung mulia habis serta tapera kudu panggil mulia,positive
rayimerta bospurwa ada pungut tapera anakanak suruh pakai tabung pribadi ortunya kacau,negative
rei tapera transparan asosiasi usaha real estat indonesia rei provinsi bal tekan tabung rumah rakyat tapera bareng komitmen transparansi masyarakat kait kelola dana,positive
bospurwa usaha todong biaya tapera,negative
bacottetangga oh anak suruh daftar tapera wkwk,negative
bacottetangga tapera,negative
bp tapera pasti skema iur landas adil menantu sinting anies undip sissy tim kuda hitam,positive
tapera kasih dek,positive
hoaks kpk bongkar dana tapera gelap bangun ikn menantu sinting anies undip sissy tim kuda hitam,negative
hrdbacot negara duit bansos rencana malakin rakyat pakai tapera,negative
papaloren apbn bocor lari ikn polri tahan banget hutang deh jatuh tempo bayar bayar pakai asn membludak solusi tapera pajak hutang wkwwkkw,positive
siaranbolalive free iur tapera pajak kendara hapus fasilitas pns jabat,positive
kompastv korban asabri tapera cair gimana,negative
ebeganzo shantybm bentar lg satgas vina apbn tinggal sapi perah bumn ungsi palestina kerja tolak tapera anak mantu jokowi gaya hedon tangkap harun mas gagal makan siang gratis ahy utang mau papihnya orang deket prabowo kuasa bumn,negative
knp lowong ksh batas usia maksimal th misale anak muda tenaga cocok kerja lembur pedih gin risiko negara konoha cm mentingin proyek drpd sejahtera rakyat termsk maksain tapera,negative
cvnkjl kompastv dapet tapera bang,negative
mohmahfudmd atur tapera potong gaji kerja co gaji pokok sono lari maaf curiga,negative
papaloren tapera bangun rumah gen z tapera bangun rumah menteri,negative
chchotimah zulhasan tapera gagal minyak,negative
drevachaniago tai tapera,negative
txtdarihi tambah serta tapera,negative
pleasantliving anggapph not in particular order bsi nama mu komisaris eh bsi pilih orang gerindra nama mu kerja bsi jelek tapera,negative
djadja gnmgntr obravo iya percaya maksa suruh tapera duit gue gapenting,positive
guesswho gnmgntr obravo percaya hoax sampah ikn pakai duit tapera,negative
jumiantork anggar ikn tinggal ambil apbn cari tapera ukt dll gagal ikn tunggu mangkraknya,negative
gilabolaina suruh tapera,negative
txtdrimedia emang perintah gebrak kemaren tapera bpjs syarat sim bansos korban judol besok,negative
txtdrimedia malas ekonomi hancur dapet bansos donk males banget kerja potong tapera bpjs pajak,negative
tapera mah anjir wkwkwk,positive
ott pensiun terima duit rupiah m ojk pelotot bp tapera bergeloracom,negative
cuan tapera propertinomic keluarga rumah bisnis strategis properti bergeloracom,negative
ribet hidup kayak negara duit tapera gitu kemensosri,positive
bacottetangga jngn nabung dek nnti duit ambil pemrentah lho tapera tabung entah,negative
bacottetangga siapsiap suruh tapera perintah,negative
thecurut oversubscribe esemka tapera uang ribu triliun kantong,negative
anak mah top up ff tapera,positive
temponewsroom gaji kerja tapera terap,negative
kirynld semangat suret nabung tapera,positive
anggota ombudsman ri yeka hendra fatika kunjung kerja kantor badan kelola tabung rumah rakyat bp tapera terima komisioner bp tapera heru pudyo nugroho,negative
thinking out loud orang kpr rumah gaji potong tapera bantu tapera kprnya berat,positive
txtdrimedia iya duit bansosnya dipake judol habis duit putar defisit hutang negara gede suruh bayar pajak gede tapera,negative
fxmario then bansosnya dipake judi nt apbn defisit muncul lg isu iur taperatarif pajak wkwk,positive
jokowi bener duit judi duit tabung tapera,negative
moonosaurxs wkwkwk pakai trakteer bayar tapera,positive
demo buruh tolak keras program tapera grahadi surabaya program berat rakyat via nawacit,negative
gimana judol sponsor utama tapera cocok kelen,negative
tapera realisasi program kayak gin lantas gimana percaya,positive
bacottetangga awas perintah liat wajib tapera,positive
bacottetangga potong tapera dek,negative
txtdrimedia razunowhere iur tapera mending dafat bansos,positive
rb rb tapera mending gw tabung tabung didik anak gw kepake kuliah anak tagih iur rumah konsep gimana deh,positive
momongaruk masveel ukt tapera ikn bombardir bela kec cuap cebokers,negative
hrdbacot usul jabat perintah aneh karyawan dikenain tapera gilir korban judol dpt bansos,negative
kompastv tapera uang,negative
arsipaja pantesan keukeuh banget tapera,positive
murtadhaone kemenkeuri bappenasri ngrampok duit kerja swasta tapera isi kas apbn,negative
korban rugpull,negative
txtdrimedia mending legalin ambil pajak situ bu bijak aneh macem tapera,positive
bacottetangga keren ide tab tapera,positive
kalimat anak program tapera,positive
bamsgp tapera kayak bebas tapera anak jabat posisi,positive
situkangsaayur apbn empot pakai wacana tapera main pakai anggar opini jelek gin bisa menteri gila,negative
tapera,negative
sunshinekim wkwkwkw era tapera bajing bisa income,positive
danieliao rencana it tapera sukarela wajib apa akh bongkar,positive
heraloebss aneh pikir jabat negeri pegawai potong tapera judi ol insentiftrus gimana cerita pegawai main judi ol,negative
susah hidup negara coba indo anut demokrasi langsung kek swiss mana rakyat partisipasi ambil bijak petisi bijak rugi tinggal petisi rakyat tapera kompak tanda tangan doang case solved,positive
butuh naik pajak aplagi tapera,positive
